iter	Passed	Remaining
0	1	1323
1	2	1085
2	3	1003
3	6	1526
4	7	1406
5	7	1318
6	8	1274
7	10	1254
8	11	1239
9	12	1205
10	13	1184
11	14	1152
12	15	1200
13	16	1181
14	17	1156
15	22	1368
16	23	1362
17	24	1333
18	25	1308
19	26	1284
20	27	1261
21	27	1239
22	28	1219
23	29	1212
24	31	1223
25	32	1229
26	37	1346
27	39	1381
28	41	1400
29	43	1397
30	44	1389
31	45	1373
32	46	1359
33	47	1341
34	48	1323
35	56	1515
36	57	1501
37	58	1490
38	59	1470
39	60	1448
40	61	1428
41	61	1408
42	62	1392
43	63	1374
44	65	1400
45	67	1403
46	68	1389
47	69	1379
48	70	1372
49	72	1371
50	73	1368
51	74	1361
52	75	1351
53	76	1340
54	77	1329
55	82	1383
56	83	1379
57	84	1370
58	85	1364
59	86	1358
60	87	1345
61	88	1333
62	88	1321
63	89	1309
64	90	1297
65	91	1288
66	91	1280
67	94	1300
68	96	1299
69	97	1291
70	98	1283
71	99	1278
72	100	1279
73	102	1279
74	102	1269
75	104	1264
76	104	1255
77	105	1248
78	106	1240
79	107	1231
80	111	1265
81	112	1259
82	112	1247
83	114	1243
84	115	1238
85	115	1231
86	116	1223
87	117	1217
88	118	1209
89	118	1202
90	119	1197
91	120	1191
92	121	1186
93	123	1189
94	124	1189
95	126	1187
96	127	1188
97	129	1188
98	130	1184
99	130	1178
100	131	1173
101	132	1166
102	133	1160
103	133	1154
104	134	1147
105	135	1141
106	136	1135
107	139	1153
108	141	1153
109	142	1149
110	143	1145
111	144	1142
112	144	1136
113	145	1130
114	146	1125
115	146	1119
116	147	1113
117	148	1107
118	148	1102
119	149	1098
120	150	1093
121	151	1087
122	153	1097
123	155	1095
124	156	1098
125	158	1096
126	159	1094
127	160	1090
128	161	1087
129	162	1085
130	163	1083
131	164	1082
132	165	1078
133	166	1073
134	172	1102
135	173	1101
136	175	1102
137	176	1101
138	177	1096
139	177	1091
140	178	1087
141	178	1081
142	179	1077
143	180	1075
144	184	1090
145	185	1087
146	187	1086
147	188	1085
148	190	1087
149	192	1091
150	194	1095
151	195	1091
152	202	1122
153	203	1118
154	204	1115
155	205	1112
156	206	1108
157	207	1103
158	207	1099
159	208	1095
160	209	1089
161	209	1085
162	210	1081
163	213	1089
164	215	1091
165	216	1088
166	218	1088
167	219	1086
168	220	1084
169	221	1080
170	222	1077
171	223	1074
172	224	1070
173	224	1066
174	225	1062
175	226	1058
176	234	1088
177	235	1086
178	236	1084
179	237	1082
180	238	1078
181	238	1073
182	239	1069
183	240	1065
184	241	1062
185	245	1074
186	246	1073
187	247	1070
188	249	1069
189	250	1068
190	251	1065
191	252	1062
192	253	1059
193	254	1056
194	255	1055
195	256	1051
196	260	1063
197	263	1066
198	264	1064
199	265	1060
200	265	1057
201	266	1054
202	267	1050
203	268	1046
204	268	1042
205	269	1039
206	270	1035
207	271	1032
208	275	1042
209	276	1040
210	277	1037
211	278	1035
212	280	1035
213	281	1033
214	282	1031
215	283	1028
216	284	1026
217	285	1023
218	291	1039
219	292	1037
220	293	1035
221	294	1031
222	295	1028
223	295	1025
224	297	1025
225	298	1022
226	299	1020
227	301	1019
228	302	1020
229	304	1018
230	305	1017
231	308	1020
232	309	1018
233	310	1015
234	319	1040
235	320	1039
236	321	1036
237	322	1033
238	323	1031
239	324	1028
240	325	1025
241	326	1022
242	329	1027
243	330	1025
244	331	1022
245	332	1019
246	333	1016
247	335	1015
248	336	1014
249	337	1012
250	338	1009
251	338	1006
252	339	1002
253	340	999
254	346	1012
255	347	1011
256	349	1010
257	351	1009
258	351	1006
259	352	1003
260	353	1000
261	354	998
262	355	995
263	355	991
264	356	988
265	358	988
266	359	986
267	360	985
268	361	983
269	363	981
270	364	981
271	365	978
272	366	975
273	367	972
274	367	969
275	368	966
276	369	963
277	375	974
278	376	973
279	378	972
280	379	969
281	379	966
282	380	963
283	381	961
284	382	958
