iter	Passed	Remaining
0	1	165
1	6	295
2	7	240
3	8	214
4	10	195
5	11	175
6	12	160
7	13	152
8	14	150
9	16	145
10	17	140
11	18	135
12	19	129
13	20	124
14	21	120
15	22	118
16	24	117
17	25	116
18	29	127
19	31	126
20	33	124
21	34	121
22	35	119
23	36	115
24	40	122
25	42	119
26	43	116
27	44	114
28	45	112
29	47	110
30	48	107
31	49	104
32	49	101
33	50	98
34	54	101
35	56	100
36	58	99
37	59	97
38	60	95
39	61	92
40	62	89
41	62	86
42	63	84
43	67	85
44	68	83
45	69	81
46	70	79
47	72	78
48	74	77
49	75	75
50	76	73
51	76	70
52	77	69
53	78	67
54	83	68
55	85	67
56	86	65
57	88	64
58	89	62
59	90	60
60	91	58
61	95	58
62	96	56
63	97	55
64	99	53
65	100	51
66	101	50
67	102	48
68	103	46
69	104	44
70	105	43
71	109	42
72	114	42
73	117	41
74	118	39
75	119	37
76	120	36
77	124	35
78	126	33
79	127	31
80	128	30
81	129	28
82	130	26
83	132	25
84	133	23
85	133	21
86	134	20
87	135	18
88	136	16
89	140	15
90	141	14
91	143	12
92	144	10
93	145	9
94	146	7
95	147	6
96	148	4
97	151	3
98	152	1
99	153	0
